reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
novelty,0,1,1.6166463904961605,-0.5,21.166463904961603,0,50,4
novelty,0,2,1.481306988262197,1.0,4.8130698826219716,1,24,0
novelty,0,3,0.5291383107743712,-0.5,10.291383107743714,0,50,2
novelty,0,4,1.396182545148331,1.0,3.9618254514833104,1,11,1
novelty,0,5,1.8463787531394098,1.0,8.463787531394098,1,39,4
novelty,0,6,0.5885526097016569,-0.5,10.885526097016573,0,50,8
novelty,0,7,0.5632817676948145,-0.5,10.632817676948147,0,50,8
novelty,0,8,0.1283067110294771,-0.5,6.283067110294769,0,50,4
novelty,0,9,1.4201898906495796,1.0,4.201898906495794,1,46,2
novelty,0,10,1.3351657737380425,1.0,3.3516577373804246,1,23,2
novelty,0,11,1.356391635165716,1.0,3.5639163516571575,1,30,2
novelty,0,12,0.4544142322670722,-0.5,9.544142322670723,0,50,7
novelty,0,13,1.5808126491371697,1.0,5.808126491371696,1,21,4
novelty,0,14,0.2327147515485411,-0.5,7.327147515485411,0,50,6
novelty,0,15,0.10696157716084509,-0.5,6.069615771608452,0,50,6
novelty,0,16,0.090643019132287,-0.5,5.906430191322869,0,50,7
novelty,0,17,0.11718547491183362,-0.5,6.171854749118337,0,50,8
novelty,0,18,1.247979848660405,1.0,2.4797984866040514,1,20,2
novelty,0,19,1.127861516137991,1.0,1.2786151613799088,1,16,0
novelty,0,20,-0.02006110426160268,-0.5,4.799388957383973,0,50,5
novelty,0,21,-0.09168750533009123,-0.5,4.083124946699088,0,50,5
novelty,0,22,1.3664712967037707,1.0,3.6647129670377034,1,35,5
novelty,0,23,1.1072275919847883,1.0,1.0722759198478817,1,8,0
novelty,0,24,1.4081955482743076,1.0,4.081955482743076,1,40,5
novelty,0,25,-0.10488667342875113,-0.5,3.9511332657124907,0,50,5
novelty,0,26,1.1159943704892668,1.0,1.159943704892668,1,13,0
novelty,0,27,-0.1758119242314824,-0.5,3.2418807576851765,0,50,4
novelty,0,28,0.0645051122066232,-0.5,5.645051122066232,0,50,10
novelty,0,29,-0.11105253426372635,-0.5,3.8894746573627352,0,50,8
novelty,0,30,1.2141486719744519,1.0,2.1414867197445195,1,17,2
novelty,0,31,-0.24107797615761112,-0.5,2.5892202384238883,0,50,3
novelty,0,32,-0.007412168227168114,-0.5,4.925878317728321,0,50,8
novelty,0,33,-0.17420782100914295,-0.5,3.2579217899085706,0,50,5
novelty,0,34,-0.12372468810119158,-0.5,3.7627531189880847,0,50,7
novelty,0,35,-0.23932467199797186,-0.5,2.6067532800202806,0,50,4
novelty,0,36,1.368603305619247,1.0,3.686033056192468,1,45,5
novelty,0,37,-0.11090578814192692,-0.5,3.89094211858073,0,50,7
novelty,0,38,-0.1383342542801162,-0.5,3.616657457198839,0,50,7
novelty,0,39,-0.09218170615676002,-0.5,4.078182938432399,0,50,8
novelty,0,40,-0.15799899210933127,-0.5,3.420010078906688,0,50,3
novelty,0,41,-0.03156078529636214,-0.5,4.684392147036379,0,50,9
novelty,0,42,-0.2607214076519286,-0.5,2.392785923480713,0,50,3
novelty,0,43,1.0560721776349429,1.0,0.5607217763494302,1,6,0
novelty,0,44,-0.18498203455974394,-0.5,3.1501796544025593,0,50,6
novelty,0,45,-0.25058584426336683,-0.5,2.4941415573663326,0,50,4
novelty,0,46,1.0721489213550133,1.0,0.7214892135501326,1,9,0
novelty,0,47,-0.08472944522210207,-0.5,4.152705547778979,0,50,9
novelty,0,48,-0.248175097963952,-0.5,2.5182490203604804,0,50,5
novelty,0,49,-0.24239684722331037,-0.5,2.576031527766896,0,50,3
novelty,0,50,1.086000325403244,1.0,0.8600032540324395,1,10,0
novelty,0,51,-0.24192135489429295,-0.5,2.58078645105707,0,50,5
novelty,0,52,-0.27759206413859,-0.5,2.2240793586141008,0,50,4
novelty,0,53,-0.1875991706017106,-0.5,3.124008293982893,0,50,6
novelty,0,54,1.0905905095633646,1.0,0.9059050956336447,1,14,1
novelty,0,55,-0.21973980152999573,-0.5,2.802601984700042,0,50,4
novelty,0,56,-0.25048876802075093,-0.5,2.4951123197924905,0,50,6
novelty,0,57,-0.19075048320005794,-0.5,3.0924951679994206,0,50,8
novelty,0,58,1.1195231288318688,1.0,1.1952312883186869,1,23,1
