reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
novelty,2,1,2.780803036136809,1.0,17.808030361368086,1,33,6
novelty,2,2,1.2366089879027427,-0.5,17.366089879027427,0,50,6
novelty,2,3,1.9893625300157647,1.0,9.893625300157646,1,49,4
novelty,2,4,1.5498253028011937,1.0,5.498253028011938,1,21,2
novelty,2,5,0.7746721006295063,-0.5,12.746721006295058,0,50,7
novelty,2,6,0.47826455872747453,-0.5,9.782645587274743,0,50,7
novelty,2,7,1.3178182952010304,1.0,3.1781829520103044,1,19,1
novelty,2,8,0.42978247053831165,-0.5,9.297824705383118,0,50,7
novelty,2,9,0.3028845242253997,-0.5,8.028845242253997,0,50,8
novelty,2,10,1.379398296442087,1.0,3.7939829644208705,1,18,2
novelty,2,11,0.10686295279328134,-0.5,6.0686295279328135,0,50,6
novelty,2,12,0.1762722703952997,-0.5,6.7627227039529965,0,50,6
novelty,2,13,-0.05619636282551865,-0.5,4.438036371744811,0,50,3
novelty,2,14,1.1133550858373673,1.0,1.133550858373673,1,10,0
novelty,2,15,0.0780374183879528,-0.5,5.780374183879529,0,50,5
novelty,2,16,0.017272125079151546,-0.5,5.1727212507915175,0,50,8
novelty,2,17,0.20062339298892218,-0.5,7.006233929889223,0,50,9
novelty,2,18,0.009079323062671563,-0.5,5.090793230626716,0,50,6
novelty,2,19,1.2570903736464054,1.0,2.570903736464054,1,24,2
novelty,2,20,-0.05629256467427485,-0.5,4.43707435325725,0,50,6
novelty,2,21,0.014325322425829068,-0.5,5.143253224258289,0,50,6
novelty,2,22,0.14847255329487552,-0.5,6.484725532948758,0,50,10
novelty,2,23,-0.1281186215805319,-0.5,3.718813784194682,0,50,5
novelty,2,24,1.0975665415326883,1.0,0.9756654153268813,1,8,0
novelty,2,25,-0.21592875292698227,-0.5,2.840712470730177,0,50,1
novelty,2,26,-0.014765096996157911,-0.5,4.852349030038422,0,50,7
novelty,2,27,-0.07812532306522846,-0.5,4.218746769347716,0,50,9
novelty,2,28,1.116382379395074,1.0,1.1638237939507394,1,10,1
novelty,2,29,-0.056525737739719584,-0.5,4.434742622602804,0,50,8
novelty,2,30,-0.1866038288427923,-0.5,3.133961711572076,0,50,4
novelty,2,31,-0.0542072880802309,-0.5,4.457927119197691,0,50,8
novelty,2,32,-0.13834011146847752,-0.5,3.6165988853152244,0,50,5
novelty,2,33,1.3338095349333186,1.0,3.3380953493331855,1,34,6
novelty,2,34,-0.15280171540475362,-0.5,3.4719828459524646,0,50,5
novelty,2,35,-0.06025208503766938,-0.5,4.397479149623306,0,50,8
novelty,2,36,-0.11309816030906855,-0.5,3.8690183969093144,0,50,6
novelty,2,37,1.1878367937761576,1.0,1.8783679377615754,1,21,2
novelty,2,38,-0.1062009469814214,-0.5,3.9379905301857865,0,50,8
novelty,2,39,-0.27820042426600033,-0.5,2.217995757339997,0,50,2
novelty,2,40,1.2251434794196687,1.0,2.2514347941966872,1,42,3
novelty,2,41,-0.2639018775039019,-0.5,2.3609812249609807,0,50,4
novelty,2,42,-0.16985914752397896,-0.5,3.3014085247602107,0,50,6
novelty,2,43,-0.19865884577794485,-0.5,3.013411542220551,0,50,5
novelty,2,44,-0.23222394944180008,-0.5,2.6777605055819986,0,50,7
novelty,2,45,1.2290642725289516,1.0,2.290642725289517,1,42,3
novelty,2,46,-0.18456154431102711,-0.5,3.1543845568897284,0,50,5
novelty,2,47,-0.15682877092638164,-0.5,3.431712290736184,0,50,9
novelty,2,48,1.0706843131039443,1.0,0.706843131039443,1,14,0
novelty,2,49,1.0895219108256435,1.0,0.8952191082564361,1,13,1
novelty,2,50,1.211082987378483,1.0,2.1108298737848297,1,33,4
novelty,2,51,1.053977471848355,1.0,0.5397747184835502,1,5,0
novelty,2,52,1.2014572777454329,1.0,2.014572777454328,1,32,4
novelty,2,53,-0.20475381344905969,-0.5,2.9524618655094024,0,50,6
novelty,2,54,-0.1960002593972085,-0.5,3.0399974060279145,0,50,6
novelty,2,55,-0.2721377150952359,-0.5,2.2786228490476415,0,50,3
novelty,2,56,-0.2242486322107003,-0.5,2.757513677892997,0,50,7
novelty,2,57,-0.2691059052202016,-0.5,2.308940947797984,0,50,6
novelty,2,58,-0.24882885743583522,-0.5,2.511711425641647,0,50,7
novelty,2,59,-0.15266828466849525,-0.5,3.4733171533150466,0,50,8
novelty,2,60,-0.3481109359581412,-0.5,1.5188906404185878,0,50,2
novelty,2,61,-0.33303281702911003,-0.5,1.6696718297088995,0,50,3
novelty,2,62,-0.2905189785893164,-0.5,2.0948102141068357,0,50,3
novelty,2,63,-0.3164914203610195,-0.5,1.835085796389805,0,50,6
novelty,2,64,-0.3415892647416559,-0.5,1.5841073525834406,0,50,3
novelty,2,65,-0.2598018571007412,-0.5,2.4019814289925887,0,50,8
novelty,2,66,-0.16198158730771978,-0.5,3.380184126922802,0,50,9
novelty,2,67,-0.2812297891521054,-0.5,2.187702108478946,0,50,5
novelty,2,68,1.1864745387947884,1.0,1.8647453879478852,1,41,2
novelty,2,69,-0.14883098254683746,-0.5,3.511690174531625,0,50,8
novelty,2,70,1.048509037942295,1.0,0.48509037942295,1,9,0
novelty,2,71,-0.264415090294471,-0.5,2.35584909705529,0,50,7
novelty,2,72,-0.27403362906589246,-0.5,2.259663709341076,0,50,6
novelty,2,73,-0.3462785612044211,-0.5,1.5372143879557896,0,50,2
novelty,2,74,-0.26308345736946726,-0.5,2.369165426305328,0,50,8
novelty,2,75,-0.27133538528014833,-0.5,2.286646147198516,0,50,6
novelty,2,76,-0.2699612860484095,-0.5,2.3003871395159052,0,50,6
novelty,2,77,-0.29125951231441427,-0.5,2.0874048768558575,0,50,5
novelty,2,78,-0.2873336934871337,-0.5,2.126663065128663,0,50,6
novelty,2,79,1.044399764979464,1.0,0.4439976497946404,1,8,0
novelty,2,80,-0.17515041266493253,-0.5,3.2484958733506746,0,50,8
novelty,2,81,1.117724778653665,1.0,1.1772477865366513,1,35,2
novelty,2,82,-0.29455526930057124,-0.5,2.054447306994287,0,50,6
novelty,2,83,-0.3351976913493713,-0.5,1.6480230865062866,0,50,3
novelty,2,84,1.2380380261254005,1.0,2.380380261254005,1,42,5
novelty,2,85,-0.3128989592661259,-0.5,1.8710104073387401,0,50,7
novelty,2,86,-0.25561115613055296,-0.5,2.443888438694471,0,50,6
novelty,2,87,-0.2630594158181079,-0.5,2.3694058418189217,0,50,7
novelty,2,88,-0.3248176513345392,-0.5,1.7518234866546076,0,50,3
novelty,2,89,1.04003924138591,1.0,0.40039241385910085,1,6,0
novelty,2,90,-0.2745501389574063,-0.5,2.2544986104259372,0,50,5
novelty,2,91,-0.3306874864593641,-0.5,1.693125135406359,0,50,5
novelty,2,92,-0.26755977043497353,-0.5,2.3244022956502643,0,50,5
novelty,2,93,1.1320957430002678,1.0,1.3209574300026776,1,24,3
novelty,2,94,-0.3350090163080223,-0.5,1.649909836919777,0,50,5
novelty,2,95,1.1659658801089714,1.0,1.6596588010897135,1,36,3
novelty,2,96,-0.36565265589205675,-0.5,1.3434734410794325,0,50,3
novelty,2,97,1.2257625882451562,1.0,2.25762588245156,1,46,7
novelty,2,98,-0.3491464233067254,-0.5,1.5085357669327468,0,50,4
