reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
surprisal,1,1,1.9841743505671041,-0.5,24.841743505671044,0,50,5
surprisal,1,2,2.205511685659944,1.0,12.055116856599433,1,25,3
surprisal,1,3,1.2043723459077755,1.0,2.0437234590777567,1,6,0
surprisal,1,4,0.9443138576715722,-0.5,14.44313857671572,0,50,8
surprisal,1,5,0.32176380734180293,-0.5,8.217638073418032,0,50,5
surprisal,1,6,1.6573210065528903,1.0,6.573210065528904,1,38,4
surprisal,1,7,0.04803372548030521,-0.5,5.480337254803053,0,50,7
surprisal,1,8,0.4149070588359436,-0.5,9.149070588359434,0,50,6
surprisal,1,9,1.0932991424754757,1.0,0.9329914247547568,1,8,0
surprisal,1,10,-0.12817904133612062,-0.5,3.7182095866387943,0,50,5
surprisal,1,11,-0.23349028481868062,-0.5,2.6650971518131943,0,50,6
surprisal,1,12,-0.0019782745727168205,-0.5,4.980217254272832,0,50,7
surprisal,1,13,-0.19916532155806388,-0.5,3.0083467844193614,0,50,3
surprisal,1,14,-0.21952620698434322,-0.5,2.804737930156568,0,50,7
surprisal,1,15,-0.19288156875600504,-0.5,3.07118431243995,0,50,6
surprisal,1,16,-0.029871780970176398,-0.5,4.701282190298236,0,50,5
surprisal,1,17,-0.15138857684168805,-0.5,3.48611423158312,0,50,7
surprisal,1,18,-0.31070395533152473,-0.5,1.892960446684753,0,50,7
surprisal,1,19,-0.3794062279687117,-0.5,1.2059377203128832,0,50,4
surprisal,1,20,1.1293141322483262,1.0,1.2931413224832613,1,24,2
surprisal,1,21,1.2972196584036717,1.0,2.972196584036718,1,40,5
surprisal,1,22,-0.31223363735252824,-0.5,1.8776636264747177,0,50,3
surprisal,1,23,-0.3206213832688658,-0.5,1.7937861673113422,0,50,5
surprisal,1,24,1.097533550283921,1.0,0.9753355028392088,1,25,1
surprisal,1,25,1.0847316598548113,1.0,0.8473165985481135,1,20,2
surprisal,1,26,-0.2916597443197283,-0.5,2.083402556802717,0,50,8
surprisal,1,27,-0.3705308846734817,-0.5,1.294691153265183,0,50,6
surprisal,1,28,-0.3867964484372035,-0.5,1.132035515627965,0,50,6
surprisal,1,29,1.0491807322274067,1.0,0.4918073222740684,1,7,0
surprisal,1,30,1.0432442354402442,1.0,0.43244235440244194,1,18,0
surprisal,1,31,-0.2547994586349065,-0.5,2.4520054136509355,0,50,5
surprisal,1,32,-0.30156843718533144,-0.5,1.9843156281466858,0,50,6
surprisal,1,33,-0.33943894063498664,-0.5,1.6056105936501337,0,50,5
surprisal,1,34,-0.4311732947769513,-0.5,0.6882670522304863,0,50,3
surprisal,1,35,-0.3258857627151722,-0.5,1.7411423728482776,0,50,5
surprisal,1,36,-0.4430315795147809,-0.5,0.5696842048521908,0,50,3
surprisal,1,37,-0.3998203493510034,-0.5,1.0017965064899657,0,50,7
surprisal,1,38,-0.43655426468184905,-0.5,0.6344573531815096,0,50,4
surprisal,1,39,-0.3321374686422624,-0.5,1.6786253135773754,0,50,5
surprisal,1,40,1.0501864837871362,1.0,0.5018648378713612,1,26,1
surprisal,1,41,-0.4304814004179064,-0.5,0.6951859958209361,0,50,1
surprisal,1,42,-0.42688886284847194,-0.5,0.7311113715152806,0,50,6
surprisal,1,43,-0.4435339317416359,-0.5,0.5646606825836412,0,50,3
surprisal,1,44,1.049762238470719,1.0,0.49762238470719045,1,12,1
