agent,state_id,state,action_id,action,mean_q_value
Epsilon-greedy Q-learning,0,black,0,red,0.7061135116500803
Epsilon-greedy Q-learning,0,black,1,green,0.5650468363262817
Epsilon-greedy Q-learning,0,black,2,blue,0.4492428397853577
Epsilon-greedy Q-learning,1,red,0,red,0.5996634702194231
Epsilon-greedy Q-learning,1,red,1,green,0.6884474182053221
Epsilon-greedy Q-learning,1,red,2,blue,0.4995298093053292
Epsilon-greedy Q-learning,2,green,0,red,0.4867557264682564
Epsilon-greedy Q-learning,2,green,1,green,0.3731332165242666
Epsilon-greedy Q-learning,2,green,2,blue,0.17947499687371765
Epsilon-greedy Q-learning,3,blue,0,red,0.29598368461135743
Epsilon-greedy Q-learning,3,blue,1,green,0.12038463378219126
Epsilon-greedy Q-learning,3,blue,2,blue,0.17662561063782053
Epsilon-greedy Q-learning,4,yellow,0,red,0.5512856886284774
Epsilon-greedy Q-learning,4,yellow,1,green,0.5953213209723712
Epsilon-greedy Q-learning,4,yellow,2,blue,0.7663835992072446
Epsilon-greedy Q-learning,5,magenta,0,red,0.31917345973223793
Epsilon-greedy Q-learning,5,magenta,1,green,0.4498010370291036
Epsilon-greedy Q-learning,5,magenta,2,blue,0.33610605760092405
Epsilon-greedy Q-learning,6,cyan,0,red,0.1679215669388324
Epsilon-greedy Q-learning,6,cyan,1,green,0.10457280686224829
Epsilon-greedy Q-learning,6,cyan,2,blue,0.14323520569247208
Epsilon-greedy Q-learning,7,white,0,red,0.0
Epsilon-greedy Q-learning,7,white,1,green,0.0
Epsilon-greedy Q-learning,7,white,2,blue,0.0
UCB Q-learning,0,black,0,red,0.36954573383355677
UCB Q-learning,0,black,1,green,0.28061877915212535
UCB Q-learning,0,black,2,blue,0.027960933888721336
UCB Q-learning,1,red,0,red,0.0006051701186269459
UCB Q-learning,1,red,1,green,0.4388917236666664
UCB Q-learning,1,red,2,blue,0.039821453119999996
UCB Q-learning,2,green,0,red,0.36564467399999995
UCB Q-learning,2,green,1,green,0.0882119842619066
UCB Q-learning,2,green,2,blue,0.033250494574572804
UCB Q-learning,3,blue,0,red,0.08079364601433199
UCB Q-learning,3,blue,1,green,0.028155700127397234
UCB Q-learning,3,blue,2,blue,0.011152400698660357
UCB Q-learning,4,yellow,0,red,0.08395059507450411
UCB Q-learning,4,yellow,1,green,0.14496589378214164
UCB Q-learning,4,yellow,2,blue,0.7533333333333332
UCB Q-learning,5,magenta,0,red,0.00196434872769668
