agent,seed_index,seed,state_id,state,action_id,action,q_value
Epsilon-greedy Q-learning,0,123,0,black,0,red,0.8454499999999996
Epsilon-greedy Q-learning,0,123,0,black,1,green,0.5258727403921929
Epsilon-greedy Q-learning,0,123,0,black,2,blue,0.5907583004196987
Epsilon-greedy Q-learning,0,123,1,red,0,red,0.7423914838042217
Epsilon-greedy Q-learning,0,123,1,red,1,green,0.9109999999999997
Epsilon-greedy Q-learning,0,123,1,red,2,blue,0.6160111657729973
Epsilon-greedy Q-learning,0,123,2,green,0,red,-0.0102
Epsilon-greedy Q-learning,0,123,2,green,1,green,0.6357106616379156
Epsilon-greedy Q-learning,0,123,2,green,2,blue,-0.006
Epsilon-greedy Q-learning,0,123,3,blue,0,red,0.5931261994510832
Epsilon-greedy Q-learning,0,123,3,blue,1,green,0.018550186884170997
Epsilon-greedy Q-learning,0,123,3,blue,2,blue,0.09521107469175832
Epsilon-greedy Q-learning,0,123,4,yellow,0,red,0.5324733450749997
Epsilon-greedy Q-learning,0,123,4,yellow,1,green,0.7607504638510239
Epsilon-greedy Q-learning,0,123,4,yellow,2,blue,0.9799999999999999
Epsilon-greedy Q-learning,0,123,5,magenta,0,red,0.4859327433017659
Epsilon-greedy Q-learning,0,123,5,magenta,1,green,0.49062317981337966
Epsilon-greedy Q-learning,0,123,5,magenta,2,blue,0.6020282098256233
Epsilon-greedy Q-learning,0,123,6,cyan,0,red,0.0323727920916
Epsilon-greedy Q-learning,0,123,6,cyan,1,green,-0.00771
Epsilon-greedy Q-learning,0,123,6,cyan,2,blue,-0.008907
Epsilon-greedy Q-learning,0,123,7,white,0,red,0.0
Epsilon-greedy Q-learning,0,123,7,white,1,green,0.0
Epsilon-greedy Q-learning,0,123,7,white,2,blue,0.0
Epsilon-greedy Q-learning,1,124,0,black,0,red,0.4583830366457108
Epsilon-greedy Q-learning,1,124,0,black,1,green,0.4844500024576101
Epsilon-greedy Q-learning,1,124,0,black,2,blue,0.4141373411986149
Epsilon-greedy Q-learning,1,124,1,red,0,red,0.6346976565382233
Epsilon-greedy Q-learning,1,124,1,red,1,green,0.6406147925387395
Epsilon-greedy Q-learning,1,124,1,red,2,blue,0.6062393924908316
Epsilon-greedy Q-learning,1,124,2,green,0,red,0.5310000002182987
Epsilon-greedy Q-learning,1,124,2,green,1,green,0.2833243686059618
Epsilon-greedy Q-learning,1,124,2,green,2,blue,-0.00458265
