state_id,state,action_id,action,mean_w_value
0,black,0,red,0.0251262188723273
0,black,1,green,1.0287419195357796
0,black,2,blue,1.010605006712731
1,red,0,red,0.8021301900655732
1,red,1,green,0.06834871782682105
1,red,2,blue,0.7852667754312305
2,green,0,red,0.006709452724720036
2,green,1,green,0.3777283766942195
2,green,2,blue,0.5563531308841216
3,blue,0,red,0.20624500221652572
3,blue,1,green,0.21710577218276045
3,blue,2,blue,0.02147542410305685
4,yellow,0,red,1.1001473467575762
4,yellow,1,green,1.2415707678467
4,yellow,2,blue,0.0
5,magenta,0,red,0.38822719947846984
5,magenta,1,green,6.825759840560679
5,magenta,2,blue,0.3663985030170877
6,cyan,0,red,2.5051005731220926
6,cyan,1,green,0.1735156065545816
6,cyan,2,blue,0.09710851051953423
7,white,0,red,0.0
7,white,1,green,0.0
7,white,2,blue,0.0
