reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
dirichlet IG,0,1,-0.08343674190478062,-0.5,4.165632580952192,0,50,4
dirichlet IG,0,2,1.0608452470797007,1.0,0.6084524707970056,1,24,0
dirichlet IG,0,3,-0.36397357534997443,-0.5,1.3602642465002557,0,50,2
dirichlet IG,0,4,1.0479719248190216,1.0,0.4797192481902157,1,11,1
dirichlet IG,0,5,1.0933206735749255,1.0,0.9332067357492551,1,39,4
dirichlet IG,0,6,-0.4335634941244885,-0.5,0.6643650587551146,0,50,8
dirichlet IG,0,7,-0.42115861321253345,-0.5,0.7884138678746648,0,50,8
dirichlet IG,0,8,-0.4767997493118282,-0.5,0.23200250688171753,0,50,4
dirichlet IG,0,9,-0.4903796211725431,-0.5,0.09620378827456877,0,50,3
dirichlet IG,0,10,-0.4500695029218814,-0.5,0.49930497078118563,0,50,7
dirichlet IG,0,11,1.0150971366561021,1.0,0.15097136656102172,1,20,3
dirichlet IG,0,12,-0.4708986045216785,-0.5,0.29101395478321557,0,50,8
dirichlet IG,0,13,-0.4916628244088937,-0.5,0.08337175591106316,0,50,6
dirichlet IG,0,14,1.0049174492088067,1.0,0.049174492088067456,1,15,2
dirichlet IG,0,15,-0.4951971650298448,-0.5,0.04802834970155212,0,50,8
dirichlet IG,0,16,-0.49814338145523535,-0.5,0.018566185447646433,0,50,5
dirichlet IG,0,17,-0.4473244244133862,-0.5,0.5267557558661378,0,50,4
dirichlet IG,0,18,1.0037344387434324,1.0,0.037344387434324666,1,21,2
dirichlet IG,0,19,-0.4931757214629209,-0.5,0.0682427853707912,0,50,8
dirichlet IG,0,20,-0.49051654986116655,-0.5,0.09483450138833449,0,50,6
dirichlet IG,0,21,-0.4974978579858349,-0.5,0.025021420141650985,0,50,8
dirichlet IG,0,22,-0.4967289595327788,-0.5,0.03271040467221198,0,50,4
dirichlet IG,0,23,1.0019943452071711,1.0,0.019943452071711665,1,35,6
dirichlet IG,0,24,-0.48482784007135304,-0.5,0.15172159928646956,0,50,8
dirichlet IG,0,25,1.0008499181546808,1.0,0.008499181546807844,1,10,0
dirichlet IG,0,26,-0.4968230434894093,-0.5,0.03176956510590667,0,50,4
dirichlet IG,0,27,-0.49032883533045835,-0.5,0.09671164669541676,0,50,5
